code;name;calories;protein;fat;carbo;fiber
747437;Beans, Dry, Cranberry (0% moisture);-;24,4;1,23;-;4,3
747438;Beans, Dry, Light Red Kidney (0% moisture);-;25;1,03;-;4,5
747439;Beans, Dry, Pink (0% moisture);-;23,4;1,2;-;4,1
747440;Beans, Dry, Dark Red Kidney (0% moisture);-;25,9;1,31;-;4,3
747441;Beans, Dry, Navy (0% moisture);-;24,1;1,51;-;4,3
747442;Beans, Dry, Small White (0% moisture);-;24,5;1,32;-;4,3
747443;Beans, Dry, Small Red (0% moisture);-;23,5;1,28;-;4,1
747444;Beans, Dry, Black (0% moisture);-;24,4;1,45;-;4,2
747445;Beans, Dry, Pinto (0% moisture);-;23,7;1,24;-;4,1
747446;Beans, Dry, Great Northern (0% moisture);-;24,7;1,24;-;4,3
747447;Broccoli, raw;31;2,57;0,34;6,27;2,4
747693;Ketchup, restaurant;117;1,11;0,55;26,8;-
747997;Eggs, Grade A, Large, egg white;55;10,7;-;2,36;-
748236;Eggs, Grade A, Large, egg yolk;334;16,2;28,8;1,02;-
748278;Oil, canola;-;-;-;-;-
748323;Oil, corn;-;-;-;-;-
748366;Oil, soybean;-;-;-;-;-
748608;Oil, olive, extra virgin;-;-;-;-;-
748967;Eggs, Grade A, Large, egg whole;148;12,4;9,96;0,96;-
749420;Pork, cured, bacon, cooked, restaurant;500;40,9;36,5;2,1;-
789828;Butter, stick, unsalted;-;-;81,5;-;-
789890;Flour, wheat, all-purpose, enriched, bleached;366;10,9;1,48;77,3;-
789951;Flour, wheat, all-purpose, enriched, unbleached;358;13,1;1,48;73,2;-
790018;Flour, wheat, all-purpose, unenriched, unbleached;362;12;1,7;74,6;3
790085;Flour, whole wheat, unenriched;370;15,1;2,73;71,2;10,6
790146;Flour, bread, white, enriched, unbleached;363;14,3;1,65;72,8;-
790214;Flour, rice, white, unenriched;359;6,94;1,3;79,8;0,5
790276;Flour, corn, yellow, fine meal, enriched;364;6,2;1,74;80,8;4,3
790508;Butter, stick, salted;-;-;82,2;-;-
790577;Onions, red, raw;44;0,94;0,1;9,93;2,2
790646;Onions, yellow, raw;38;0,83;0,05;8,61;1,9
1104647;Garlic, raw;143;6,62;0,38;28,2;2,7
1104705;Flour, soy, defatted;366;51,1;3,33;32,9;-
1104766;Flour, soy, full-fat;452;38,6;20,7;27,9;-
1104812;Flour, rice, brown;365;7,19;3,85;75,5;-
1104867;Flour, rice, glutinous;358;6,69;1,16;80,1;-
1104913;Flour, pastry, unenriched, unbleached;358;8,75;1,64;77,2;-
1104962;Onions, white, raw;35;0,89;0,13;7,68;1,2
1105073;Bananas, overripe, raw;85;0,73;0,22;20,1;1,7
1105314;Bananas, ripe and slightly ripe, raw;97;0,74;0,29;23;1,7
1750339;Apples, red delicious, with skin, raw;-;0,188;0,212;14,8;2,04
1750340;Apples, fuji, with skin, raw;-;0,148;0,162;15,7;2,08
