code;name;calories;protein;fat;carbo;fiber
2708172;Crackers, sandwich, peanut butter filled;494;11,5;24,5;58,4;2,3
2708173;Crackers, sandwich, peanut butter filled (Ritz);482;7,5;25;57,1;2,5
2708174;Crackers, sandwich, reduced fat, peanut butter filled;437;8,33;16,7;63,5;2,8
2708175;Crackers, whole grain, sandwich, peanut butter filled;465;14,1;21,2;54,6;9,4
2708176;Crackers, sandwich, cheese filled;477;9,3;21,1;61,7;1,9
2708177;Crackers, sandwich, cheese filled (Ritz);479;7,66;25,1;56;2,5
2708178;Crackers, water;384;7,14;7,14;72,8;7,1
2708179;Crackers, wonton;521;10,3;31,7;51,9;1,9
2708180;Crackers, woven wheat;441;8,94;15,3;70,1;8,6
2708181;Crackers, woven wheat, plain (Triscuit);441;8,94;15,3;70,1;8,6
2708182;Crackers, woven wheat, flavored (Triscuit);441;8,94;15,3;70,1;8,6
2708183;Crackers, woven wheat, reduced fat;416;11,3;7,59;75,5;10,9
2708184;Crackers, wheat;441;8,94;15,3;70,1;8,6
2708185;Crackers, wheat, plain (Wheat Thins);441;8,94;15,3;70,1;8,6
2708186;Crackers, wheat, flavored (Wheat Thins);441;8,94;15,3;70,1;8,6
2708187;Crackers, wheat, reduced fat;444;9,34;13,4;71,5;3,4
2708188;Crackers, gluten free, plain;453;11,2;15,8;66,3;10,2
2708189;Crackers, gluten free, flavored;453;11,2;15,8;66,3;10,2
2708190;Baby Toddler crackers;391;12,5;0,87;83,2;-
2708191;Baby Toddler puffs, fruit;344;6,19;2,3;85,8;3,8
2708192;Baby Toddler puffs, vegetable;344;6,19;2,3;85,8;3,8
2708193;Baby Toddler crunchies;462;3,2;19,2;69,1;1,2
2708194;Baby Toddler wheels;413;10;6,41;78,9;-
2708195;Corn nuts;446;8,5;15,6;71,9;6,9
2708196;Corn chips, plain;535;6,12;33,1;56,8;4
2708197;Corn chips, flavored;543;6,11;34;56,7;4
2708198;Corn chips, plain (Fritos);539;6,17;33,4;57,3;4
2708199;Corn chips, flavored (Fritos);536;6,14;33,2;57;4
2708200;Cheese flavored corn snacks;567;5,46;36,5;54,5;0,8
